gene_id,SRR18885340,SRR18885341,SRR18885342,SRR18885343,SRR18885344,SRR18885345,SRR18885346,SRR18885347,SRR18885348,SRR18885349,SRR18885350,SRR18885351
ENSG00000272512.1|ENSG00000272512,86,145,84,97,211,157,90,181,63,79,99,127
ENSG00000188290.11|HES4,839,1154,997,929,1357,912,900,1041,898,782,777,648
ENSG00000187608.10|ISG15,112,223,223,287,155,255,190,247,394,564,409,532
ENSG00000231702.2|ENSG00000231702,5,0,4,2,4,7,0,2,5,1,0,4
ENSG00000224969.1|ENSG00000224969,8,15,15,9,6,9,0,14,11,8,10,13
ENSG00000188157.15|AGRN,48128,51022,41120,41969,63940,46355,39888,47459,59202,48112,51775,46347
ENSG00000242590.1|ENSG00000242590,1,0,1,0,1,0,1,1,1,1,1,1
ENSG00000291156.1|ENSG00000291156,158,397,292,380,160,307,278,260,324,632,454,500
ENSG00000273443.1|ENSG00000273443,30,69,64,65,31,57,39,84,53,113,102,100
ENSG00000217801.13|ENSG00000217801,19,90,68,44,20,39,69,35,99,103,77,116
ENSG00000237330.3|RNF223,0,0,8,0,8,0,0,27,0,0,9,5
ENSG00000131591.18|C1orf159,1102,1641,1370,1057,1699,1530,1303,1418,886,1088,1246,890
ENSG00000285812.1|ENSG00000285812,31,71,34,28,26,37,15,11,15,29,54,20
ENSG00000272141.1|ENSG00000272141,2,6,0,9,4,0,19,4,8,5,0,5
ENSG00000186827.12|TNFRSF4,0,0,10,0,0,3,0,8,0,7,0,0
ENSG00000078808.20|SDF4,14100,15025,14390,14288,17720,12818,12934,14232,18868,13511,16451,14839
ENSG00000176022.7|B3GALT6,2759,3695,3194,3068,3789,3237,3086,3241,2971,2811,3053,2911
ENSG00000184163.3|C1QTNF12,11,31,43,18,40,26,24,32,35,4,23,9
ENSG00000260179.1|ENSG00000260179,3,12,8,13,9,19,13,32,5,3,0,21
ENSG00000160087.21|UBE2J2,3082,4371,4056,3795,3804,3886,4013,4210,3031,3131,3809,2769
ENSG00000230415.1|LINC01786,23,25,7,19,41,26,31,20,44,51,34,35
